Current rank,Previous rank,Current vs. previous,Company,Headquarters,Accounting principle,Total assets (US$B)
87,88,?,Erste Group Bank AG (EBS-WBAG),Austria,IFRS,346.12
88,92,?,Industrial Bank of Korea (A024110-KOSE),South Korea,Korean IFRS,343.49
89,-,?,Bank of Ningbo Co. Ltd. (002142-SZSE),China,PRC GAAP,343.05
90,99,?,Banco Bradesco SA (BBDC4-BOVESPA),Brazil,IFRS,340.41
91,86,?,Skandinaviska Enskilda Banken AB (publ) (SEB A-OM),Sweden,IFRS,338.91
92,-,?,VTB Bank PJSC (VTBR-MISX),Russia,IFRS,335.11
93,85,?,Svenska Handelsbanken AB (publ) (SHB A-OM),Sweden,IFRS,331.32
94,89,?,DNB Bank ASA (DNB-OB),Norway,IFRS,328.5
95,100,?,Qatar National Bank (QPSC) (QNBK-DSM)*,Qatar,IFRS,323.56
96,-,?,National Bank of Canada (NA-TSX)**,Canada,IFRS,313.67
97,-,?,Macquarie Group Ltd. (MQG-ASX)***,Australia,Australian IFRS,313.47
98,82,?,Nationwide Building Society (NBS-LSE)***,U.K.,IFRS,311.93
99,96,?,Raiffeisen Gruppe Switzerland,Switzerland,Swiss GAAP,303.5
100,-,?,First Abu Dhabi Bank PJSC (FAB-ADX),UAE,IFRS,302.22
